image_name,tags
test_482,clear primary
test_483,partly_cloudy primary
test_484,water clear primary
test_485,clear primary
test_486,clear primary
test_487,partly_cloudy road habitation primary agriculture
test_488,clear primary
test_489,road clear primary agriculture
test_490,clear cultivation primary agriculture
test_491,road clear habitation primary agriculture
test_492,clear primary
test_493,water clear primary
test_494,clear primary
test_495,clear primary
test_496,partly_cloudy cultivation primary
test_497,road clear primary agriculture
test_498,clear primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,road clear primary agriculture
test_504,partly_cloudy primary
test_505,road clear primary agriculture
test_506,clear primary
test_507,haze primary
test_508,road clear habitation primary agriculture
test_509,clear primary
test_510,road water clear habitation artisinal_mine primary
test_511,road clear habitation primary agriculture
test_512,haze primary
test_513,clear primary
test_514,primary agriculture
test_515,partly_cloudy primary
test_516,clear primary
test_517,road clear primary agriculture
test_518,partly_cloudy road primary agriculture
test_519,road clear primary agriculture
test_520,cloudy
test_521,partly_cloudy primary
test_522,road clear primary agriculture
test_523,partly_cloudy primary
test_524,haze primary
test_525,clear primary
test_526,road clear habitation primary agriculture
test_527,clear primary
test_528,road clear primary agriculture
test_529,partly_cloudy primary
test_530,road clear primary agriculture
test_531,road water clear primary agriculture
test_532,clear primary
test_533,clear primary
test_534,clear primary
test_535,clear primary
test_536,water clear primary
test_537,clear primary
test_538,clear primary
test_539,partly_cloudy cultivation primary agriculture
test_540,road water clear primary
test_541,road clear primary agriculture
test_542,road water clear primary agriculture
test_543,clear primary
test_544,road clear habitation primary agriculture
test_545,clear primary
test_546,road clear primary agriculture
test_547,clear primary
test_548,partly_cloudy primary
test_549,road water haze primary agriculture
test_550,clear primary agriculture
test_551,partly_cloudy road habitation primary agriculture
test_552,clear primary
test_553,road water clear primary
test_554,clear primary
test_555,road water clear primary
test_556,cloudy
test_557,clear primary
test_558,partly_cloudy primary
test_559,clear primary
test_560,clear primary
test_561,partly_cloudy primary
test_562,clear primary agriculture
test_563,clear cultivation primary agriculture
test_564,road clear habitation primary
test_565,partly_cloudy primary
test_566,clear primary
test_567,partly_cloudy primary
test_568,road clear habitation primary
test_569,clear primary
test_570,partly_cloudy primary
test_571,clear primary
test_572,partly_cloudy primary
test_573,clear primary
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,clear primary
test_578,haze primary
test_579,clear primary
test_580,road clear primary agriculture
test_581,road clear primary
test_582,road water clear primary
test_583,road clear primary agriculture
test_584,clear cultivation primary agriculture
test_585,water clear primary
test_586,road clear primary agriculture
test_587,road clear habitation primary agriculture
test_588,clear primary
test_589,partly_cloudy primary
test_590,clear primary
test_591,road clear primary agriculture
test_592,road clear habitation primary agriculture
test_593,clear primary
test_594,road clear primary agriculture
test_595,partly_cloudy primary
test_596,road water clear artisinal_mine primary agriculture
test_597,partly_cloudy cultivation primary agriculture
test_598,partly_cloudy cultivation primary agriculture
test_599,clear primary
test_600,clear primary
test_601,haze primary agriculture
test_602,cloudy
test_603,clear primary
test_604,
test_605,partly_cloudy primary
test_606,road clear habitation primary agriculture
test_607,partly_cloudy primary
test_608,road clear habitation primary agriculture
test_609,clear primary
test_610,clear primary
test_611,road water clear primary agriculture
test_612,clear primary
test_613,partly_cloudy primary
test_614,clear primary
test_615,water clear primary
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,road water clear habitation artisinal_mine primary
test_620,clear primary agriculture
test_621,clear primary
test_622,road clear primary agriculture
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,clear primary
test_628,clear primary
test_629,clear primary
test_630,road clear habitation primary
test_631,road haze primary agriculture
test_632,cloudy
test_633,road water clear primary
test_634,road clear primary agriculture
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,clear cultivation primary agriculture
test_640,clear primary
test_641,road water clear primary
test_642,road clear habitation primary agriculture
test_643,clear cultivation primary agriculture
test_644,clear primary
test_645,partly_cloudy primary
test_646,partly_cloudy primary
test_647,clear primary agriculture
test_648,road clear habitation primary agriculture
test_649,road clear primary agriculture
test_650,road clear primary agriculture
test_651,road clear habitation primary agriculture
test_652,clear primary
test_653,clear cultivation primary agriculture
test_654,haze primary
test_655,clear primary
test_656,clear primary
test_657,partly_cloudy road habitation primary agriculture
test_658,road water clear primary
test_659,clear primary
test_660,clear primary
test_661,clear primary
test_662,partly_cloudy primary
test_663,partly_cloudy water primary
test_664,cloudy
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,water clear primary
test_669,clear primary
test_670,partly_cloudy primary agriculture
test_671,road clear agriculture
test_672,clear primary
test_673,clear primary
test_674,partly_cloudy primary
test_675,haze primary
test_676,road clear primary agriculture
test_677,partly_cloudy primary
test_678,road clear primary agriculture
test_679,cloudy haze
test_680,clear cultivation primary agriculture
test_681,clear primary
test_682,clear primary
test_683,partly_cloudy primary
test_684,clear primary
test_685,road water clear primary agriculture
test_686,clear primary
test_687,cloudy
test_688,road clear primary agriculture
test_689,road clear primary agriculture
test_690,clear primary
test_691,partly_cloudy cultivation primary agriculture
test_692,haze primary
test_693,water clear primary
test_694,clear primary agriculture
test_695,clear cultivation primary agriculture
test_696,water clear primary agriculture
test_697,partly_cloudy primary
test_698,water clear primary
test_699,partly_cloudy road clear primary agriculture
test_700,cloudy
test_701,road clear habitation primary agriculture
test_702,cloudy
test_703,clear primary
test_704,clear primary
test_705,clear primary
test_706,clear primary
test_707,road clear primary
test_708,clear primary
test_709,cloudy
test_710,clear primary
test_711,clear primary
test_712,partly_cloudy primary
test_713,clear primary
test_714,cloudy
test_715,partly_cloudy primary
test_716,clear primary
test_717,clear primary
test_718,partly_cloudy primary agriculture
test_719,clear primary
test_720,road water clear primary agriculture
test_721,clear primary
test_722,clear primary
test_723,partly_cloudy road habitation primary agriculture
test_724,road clear primary agriculture
test_725,road clear habitation primary agriculture
test_726,clear primary
test_727,partly_cloudy water primary
test_728,clear primary
test_729,clear cultivation primary agriculture
test_730,clear cultivation primary agriculture
test_731,clear primary
test_732,clear primary
test_733,clear primary
test_734,clear primary
test_735,road clear cultivation primary agriculture
test_736,partly_cloudy road primary agriculture
test_737,water clear primary
test_738,road clear primary agriculture
test_739,clear primary
test_740,clear primary
test_741,partly_cloudy water primary
test_742,clear primary
test_743,clear primary
test_744,road clear habitation primary agriculture
test_745,clear primary
test_746,partly_cloudy primary
test_747,road water clear primary agriculture
test_748,clear primary
test_749,partly_cloudy primary
test_750,road clear habitation primary agriculture
test_751,clear primary
test_752,partly_cloudy haze primary
test_753,clear primary
test_754,cloudy
test_755,haze primary
test_756,road clear habitation primary
test_757,clear primary
test_758,cloudy
test_759,partly_cloudy road water primary
test_760,clear primary
test_761,partly_cloudy primary
test_762,clear primary
test_763,clear primary agriculture
test_764,road clear habitation primary agriculture
test_765,clear primary
test_766,clear primary
test_767,road water clear habitation primary agriculture
test_768,clear primary
test_769,haze primary
test_770,clear primary agriculture
test_771,clear primary
test_772,partly_cloudy primary
test_773,partly_cloudy primary agriculture
test_774,clear primary
test_775,water clear primary
test_776,clear primary
test_777,road water clear habitation primary agriculture
test_778,road clear habitation primary agriculture
test_779,clear primary
test_780,clear primary
test_781,road clear habitation primary agriculture
test_782,road clear primary agriculture
test_783,cloudy
test_784,clear primary agriculture
test_785,partly_cloudy primary
test_786,partly_cloudy primary
test_787,clear primary agriculture
test_788,cloudy
test_789,partly_cloudy primary
test_790,road water clear primary
test_791,clear primary agriculture
test_792,clear primary
test_793,partly_cloudy primary
test_794,clear primary agriculture
test_795,water clear artisinal_mine primary
test_796,clear primary
test_797,partly_cloudy primary
test_798,partly_cloudy road primary agriculture
test_799,clear primary
test_800,clear primary
test_801,road clear primary agriculture
test_802,road clear primary agriculture
test_803,clear primary agriculture
test_804,haze primary
test_805,clear primary
test_806,clear primary
test_807,road clear habitation primary agriculture
test_808,clear primary
test_809,clear primary
test_810,partly_cloudy primary agriculture
test_811,clear primary
test_812,water clear cultivation primary agriculture
test_813,clear primary
test_814,road water clear primary
test_815,clear primary
test_816,water clear primary
test_817,cloudy
test_818,road clear habitation primary
test_819,water clear
test_820,clear primary
test_821,road clear primary agriculture
test_822,clear primary
test_823,haze primary
test_824,clear primary
test_825,water haze primary
test_826,road clear habitation primary agriculture
test_827,clear primary
test_828,clear primary
test_829,clear primary
test_830,primary
test_831,clear primary
test_832,partly_cloudy primary
test_833,primary
test_834,clear primary
test_835,clear primary
test_836,clear primary
test_837,water clear primary
test_838,road water clear primary agriculture
test_839,clear primary
test_840,clear primary
test_841,water clear primary
test_842,clear primary
test_843,cloudy
test_844,partly_cloudy road primary agriculture
test_845,road clear primary agriculture
test_846,road clear habitation primary agriculture
test_847,clear primary
test_848,cloudy
test_849,cloudy
test_850,road water clear primary
test_851,clear primary
test_852,partly_cloudy primary
test_853,clear primary
test_854,water clear cultivation primary agriculture
test_855,clear primary
test_856,clear cultivation primary agriculture
test_857,partly_cloudy water primary
test_858,clear primary agriculture
test_859,clear cultivation primary agriculture
test_860,clear primary
test_861,clear primary
test_862,clear primary
test_863,clear primary
test_864,clear primary
test_865,cloudy
test_866,partly_cloudy road water primary
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,clear cultivation primary agriculture
test_871,partly_cloudy primary
test_872,water primary
test_873,clear primary
test_874,clear primary
test_875,partly_cloudy primary
test_876,clear primary
test_877,partly_cloudy road habitation primary agriculture
test_878,partly_cloudy primary
test_879,clear primary agriculture
test_880,clear primary
test_881,road water clear cultivation primary agriculture
test_882,clear primary
test_883,cloudy haze
test_884,clear primary
test_885,clear primary
test_886,water haze primary
test_887,partly_cloudy road habitation primary agriculture
test_888,partly_cloudy primary agriculture
test_889,haze primary
test_890,clear primary
test_891,road clear habitation cultivation primary agriculture
test_892,partly_cloudy primary
test_893,primary
test_894,road water clear primary
test_895,road clear bare_ground
test_896,clear primary
test_897,haze primary
test_898,cloudy
test_899,road water clear primary
test_900,road clear primary agriculture
test_901,clear primary
test_902,cloudy
test_903,partly_cloudy cultivation primary agriculture
test_904,partly_cloudy road primary agriculture
test_905,clear primary
test_906,clear primary agriculture
test_907,clear primary
test_908,clear primary
test_909,clear primary
test_910,cloudy
test_911,clear primary
test_912,clear cultivation primary agriculture
test_913,road clear primary agriculture
test_914,water primary
test_915,clear primary
test_916,clear primary
test_917,haze primary
test_918,clear primary
test_919,clear primary
test_920,clear primary
test_921,cloudy
test_922,cloudy
test_923,road clear primary agriculture
test_924,partly_cloudy primary
test_925,cloudy
test_926,road clear habitation primary agriculture
test_927,clear primary
test_928,road water clear primary
test_929,partly_cloudy primary
test_930,road clear selective_logging primary
test_931,clear primary
test_932,clear primary
test_933,clear primary
test_934,partly_cloudy primary
test_935,road water clear primary
test_936,primary
test_937,cloudy haze primary
test_938,clear primary
test_939,road water clear primary
test_940,clear primary
test_941,road clear primary agriculture
test_942,road clear primary agriculture
test_943,water primary
test_944,primary
test_945,clear primary
test_946,road clear primary
test_947,partly_cloudy clear primary
test_948,clear primary
test_949,clear cultivation primary agriculture
test_950,partly_cloudy road primary
test_951,partly_cloudy road primary agriculture
test_952,road clear primary agriculture
test_953,road clear habitation cultivation primary agriculture
test_954,partly_cloudy primary
test_955,water clear primary
test_956,partly_cloudy primary
test_957,partly_cloudy water primary agriculture
test_958,road clear haze primary agriculture
test_959,cloudy haze
test_960,partly_cloudy primary
test_961,partly_cloudy road primary agriculture
test_962,clear primary
test_963,road clear primary agriculture
test_964,clear primary
test_965,clear primary
test_966,clear primary
test_967,clear primary
test_968,clear cultivation primary agriculture
test_969,clear primary
test_970,clear primary
test_971,clear primary
test_972,clear primary
test_973,partly_cloudy primary agriculture
test_974,clear agriculture
test_975,clear primary
test_976,clear cultivation primary agriculture
test_977,water clear primary agriculture
test_978,clear primary
test_979,partly_cloudy primary
test_980,road water clear primary agriculture
test_981,clear primary
test_982,water clear primary agriculture
test_983,clear primary
test_984,road clear habitation primary agriculture
test_985,road primary agriculture
test_986,clear primary
test_987,clear primary
test_988,clear primary
test_989,clear primary
test_990,haze primary
test_991,clear primary
test_992,clear primary
test_993,road clear habitation primary agriculture
test_994,water clear primary
test_995,road water clear primary
test_996,clear primary
test_997,clear primary
test_998,haze primary
test_999,clear primary
test_1000,water clear primary agriculture
test_1001,clear primary
test_1002,clear primary
test_1003,road water clear habitation artisinal_mine primary
test_1004,clear primary agriculture
test_1005,clear primary
test_1006,clear primary
test_1007,clear primary
test_1008,partly_cloudy primary
test_1009,road clear primary agriculture
test_1010,cloudy
test_1011,clear primary
test_1012,clear primary
test_1013,partly_cloudy primary
test_1014,clear primary
test_1015,clear cultivation primary agriculture
test_1016,road clear habitation primary agriculture
test_1017,road clear primary agriculture
test_1018,partly_cloudy road water habitation primary agriculture
test_1019,partly_cloudy road habitation primary agriculture
test_1020,clear primary agriculture
test_1021,partly_cloudy primary
test_1022,haze primary
test_1023,water
test_1024,clear primary
test_1025,road water clear primary
test_1026,partly_cloudy primary
test_1027,road clear primary agriculture
test_1028,partly_cloudy road primary agriculture
test_1029,road water clear haze primary agriculture
test_1030,clear primary agriculture
test_1031,clear primary
test_1032,water haze primary
test_1033,partly_cloudy primary
test_1034,clear primary
test_1035,clear primary
test_1036,clear primary
test_1037,clear cultivation primary agriculture
test_1038,road clear primary
test_1039,cloudy
test_1040,clear primary
test_1041,partly_cloudy primary
test_1042,water clear primary
test_1043,water haze primary
test_1044,partly_cloudy primary agriculture
test_1045,clear primary
test_1046,clear primary agriculture
test_1047,water clear primary agriculture
test_1048,clear primary
test_1049,clear primary
test_1050,clear primary
test_1051,clear primary
test_1052,clear primary
test_1053,water clear primary
test_1054,partly_cloudy primary
test_1055,water clear primary
test_1056,haze primary
test_1057,road clear habitation primary agriculture
test_1058,road clear primary agriculture
test_1059,clear primary agriculture
test_1060,road water clear selective_logging primary
test_1061,clear primary
test_1062,partly_cloudy road clear primary agriculture
test_1063,clear primary
test_1064,clear primary
test_1065,clear primary
test_1066,road clear primary agriculture
test_1067,clear primary
test_1068,cloudy
test_1069,clear cultivation primary agriculture
test_1070,road clear primary agriculture
test_1071,road clear primary agriculture
test_1072,clear primary
test_1073,road clear primary agriculture
test_1074,clear primary
test_1075,partly_cloudy road primary agriculture
test_1076,clear primary
test_1077,water clear primary
test_1078,clear primary agriculture
test_1079,clear primary
test_1080,clear primary
test_1081,clear primary
test_1082,cloudy
test_1083,road clear habitation primary agriculture
test_1084,partly_cloudy clear primary
test_1085,clear primary
test_1086,road clear agriculture
test_1087,water clear primary agriculture
test_1088,clear primary
test_1089,road clear habitation
test_1090,road water clear primary
test_1091,road water clear primary
test_1092,road clear primary agriculture
test_1093,clear primary
test_1094,road clear habitation primary agriculture
test_1095,clear primary
test_1096,partly_cloudy primary
test_1097,partly_cloudy primary agriculture
test_1098,haze primary
test_1099,clear primary
test_1100,road clear primary agriculture
test_1101,clear cultivation primary agriculture
test_1102,road clear habitation cultivation primary agriculture
test_1103,water clear primary agriculture
test_1104,road water clear primary agriculture
test_1105,clear primary
test_1106,partly_cloudy clear primary
test_1107,road clear habitation primary agriculture
test_1108,partly_cloudy road primary agriculture
test_1109,clear
test_1110,water clear primary
test_1111,clear primary
test_1112,road clear primary agriculture
test_1113,water clear primary
test_1114,
test_1115,water clear primary
test_1116,road clear primary agriculture
test_1117,partly_cloudy primary
test_1118,cloudy
test_1119,road clear habitation primary agriculture
test_1120,clear primary
test_1121,clear primary
test_1122,road clear primary
test_1123,clear cultivation primary agriculture
test_1124,clear primary
test_1125,clear primary
test_1126,partly_cloudy primary
test_1127,road clear habitation primary agriculture
test_1128,road water clear cultivation primary agriculture
test_1129,partly_cloudy primary
test_1130,clear primary
test_1131,haze primary
test_1132,cloudy
test_1133,clear primary
test_1134,road clear primary agriculture
test_1135,clear primary
test_1136,clear primary
test_1137,clear primary agriculture
test_1138,clear primary
test_1139,cloudy
test_1140,partly_cloudy primary
test_1141,partly_cloudy primary
test_1142,haze primary
test_1143,clear primary
test_1144,road clear cultivation primary agriculture
test_1145,clear primary
test_1146,clear cultivation primary agriculture
test_1147,haze primary
test_1148,clear primary
test_1149,cloudy
test_1150,clear primary
test_1151,clear primary
test_1152,clear primary
test_1153,clear primary
test_1154,clear primary
test_1155,clear primary
test_1156,road water haze primary
test_1157,partly_cloudy primary
